Date,Description,Transaction_ID,Amount,Category,Type
10 Apr 2025,COURSE PAYMENT PAYMENT,T2504047,₹72.17,Education,Debit
02 Apr 2025,ELECTRONICS SHOP PAYMENT,T2504057,₹95.08,Shopping,Debit
08 Apr 2025,BEAUTY PARLOUR BILL,T2504033,₹32.07,Personal Care,Debit
07 Apr 2025,VIDEO STREAMING TXN,T2504019,₹83.01,Entertainment,Debit
07 Apr 2025,WATER BILL #5002,T2504043,₹158.04,Utilities,Debit
08 Apr 2025,ARCHANA VESSELS BILL,T2504072,₹198.08,Shopping,Debit
05 Apr 2025,EVENT TICKET ONLINE,T2504077,₹54.75,Entertainment,Debit
01 Apr 2025,AMUSEMENT PARK PAYMENT,T2504057,₹109.31,Entertainment,Debit
06 Apr 2025,STATIONERY SHOP,T2504016,₹87.35,Shopping,Debit
07 Apr 2025,ELECTRIC BILL BILL,T2504017,₹141.99,Utilities,Debit
06 Apr 2025,CASH DEPOSIT ONLINE,T2504099,₹83.69,Miscellaneous,Debit
03 Apr 2025,THALAIVA CHINESE COR PAYMENT,T2504018,₹18.29,Food & Dining,Debit
09 Apr 2025,LANDLORD PAYMENT BILL,T2504032,₹539.84,Housing,Debit
07 Apr 2025,BEAUTY PARLOUR #9818,T2504072,₹89.17,Personal Care,Debit
08 Apr 2025,THALAIVA CHINESE COR,T2504077,₹146.72,Food & Dining,Debit
05 Apr 2025,S KARTHICK KUMAR,T2504074,₹1414.38,P2P Transfer,Credit
05 Apr 2025,SHAVING ONLINE,T2504089,₹105.04,Personal Care,Debit
07 Apr 2025,MR SRIMANTA CHATTERJEE,T2504099,₹1370.6,P2P Transfer,Credit
09 Apr 2025,PETROL PUMP BILL,T2504038,₹10.39,Transport,Debit
03 Apr 2025,RENT PAYMENT,T2504083,₹882.86,Housing,Debit
05 Apr 2025,VIDEO STREAMING,T2504067,₹91.17,Entertainment,Debit
02 Apr 2025,DIGINET CAFE #5146,T2504057,₹107.38,Online Services,Debit
02 Apr 2025,CABLE TV ONLINE,T2504072,₹133.94,Utilities,Debit
05 Apr 2025,HAIR SALON TXN,T2504026,₹122.76,Personal Care,Debit
09 Apr 2025,CS PHARMACY PAYMENT,T2504052,₹45.79,Healthcare,Debit
02 Apr 2025,RETAIL #7693,T2504066,₹57.26,Shopping,Debit
10 Apr 2025,SHOPPING BILL,T2504042,₹178.45,Shopping,Debit
06 Apr 2025,ONLINE PAYMENT BILL,T2504057,₹154.13,Online Services,Debit
08 Apr 2025,DAILY NEEDS #3299,T2504031,₹173.08,Grocery & Convenience,Debit
08 Apr 2025,E-COMMERCE ONLINE,T2504024,₹112.1,Online Services,Debit
04 Apr 2025,ROYAL BIRIYANI BILL,T2504051,₹15.21,Food & Dining,Debit
04 Apr 2025,NOTEBOOK PURCHASE #5747,T2504005,₹43.21,Education,Debit
07 Apr 2025,DIGINET CAFE ONLINE,T2504090,₹105.76,Online Services,Debit
03 Apr 2025,EDUCATIONAL SUPPLIES,T2504066,₹176.14,Education,Debit
01 Apr 2025,COURSE PAYMENT TXN,T2504007,₹83.29,Education,Debit
04 Apr 2025,VIDEO STREAMING ONLINE,T2504017,₹193.95,Entertainment,Debit
05 Apr 2025,RUVAN STATIONERY TXN,T2504028,₹126.43,Shopping,Debit
07 Apr 2025,SUBSCRIPTION SERVICE ONLINE,T2504034,₹61.95,Online Services,Debit
08 Apr 2025,COURSE PAYMENT,T2504040,₹156.52,Education,Debit
01 Apr 2025,COACHING CLASS PAYMENT,T2504074,₹128.29,Education,Debit
03 Apr 2025,WATER BILL,T2504058,₹22.5,Utilities,Debit
07 Apr 2025,SHOPPING BILL,T2504069,₹170.07,Shopping,Debit
07 Apr 2025,CAFE PAYMENT,T2504073,₹181.56,Food & Dining,Debit
09 Apr 2025,MEDICAL STORE ONLINE,T2504013,₹75.15,Healthcare,Debit
08 Apr 2025,LOCAL TRANSPORT TXN,T2504028,₹36.11,Transport,Debit
01 Apr 2025,AUTO RICKSHAW PAYMENT,T2504041,₹14.58,Transport,Debit
04 Apr 2025,ONLINE GAMING PAYMENT,T2504097,₹27.81,Entertainment,Debit
10 Apr 2025,FUEL PURCHASE PAYMENT,T2504099,₹153.16,Transport,Debit
10 Apr 2025,SPA SERVICE #3949,T2504060,₹176.21,Personal Care,Debit
01 Apr 2025,JEWELLERY STORE ONLINE,T2504058,₹130.87,Shopping,Debit
01 Apr 2025,BUS FARE ONLINE,T2504036,₹150.21,Transport,Debit
09 Apr 2025,MESS FEE,T2504057,₹1256.87,Housing,Debit
07 Apr 2025,PROVISION STORE PAYMENT,T2504027,₹27.58,Grocery & Convenience,Debit
08 Apr 2025,ZEPTO MARKETPLACE PRIVATE LIMITED,T2504090,₹126.13,Grocery & Convenience,Debit
09 Apr 2025,PROVISION STORE BILL,T2504078,₹93.34,Grocery & Convenience,Debit
05 Apr 2025,FAMILY TRANSFER,T2504072,₹1269.06,P2P Transfer,Debit
02 Apr 2025,HOSTEL FEE ONLINE,T2504013,₹1930.44,Housing,Debit
02 Apr 2025,LOCAL TRANSPORT,T2504038,₹114.66,Transport,Debit
01 Apr 2025,SATHISH PRABHAKAR PONNUSAMY,T2504042,₹961.76,P2P Transfer,Debit
09 Apr 2025,CODEXINTERN BILL,T2504059,₹56.58,Online Services,Debit
01 Apr 2025,CONVENIENCE STORE PAYMENT,T2504035,₹17.92,Grocery & Convenience,Debit
02 Apr 2025,SRMGF COUNTER 1,T2504041,₹23.08,Education,Debit
05 Apr 2025,RENT PAYMENT #8586,T2504036,₹551.58,Housing,Debit
07 Apr 2025,HAIR SALON BILL,T2504054,₹43.67,Personal Care,Debit
05 Apr 2025,VIDEO STREAMING TXN,T2504017,₹51.28,Entertainment,Debit
07 Apr 2025,ZEPTO MARKETPLACE PRIVATE LIMITED ONLINE,T2504036,₹103.51,Grocery & Convenience,Debit
03 Apr 2025,HERO CHAI ONLINE,T2504089,₹16.79,Food & Dining,Debit
08 Apr 2025,ONLINE GAMING,T2504086,₹96.9,Entertainment,Debit
02 Apr 2025,RAPIDO ONLINE,T2504025,₹24.32,Transport,Debit
09 Apr 2025,TRAIN TICKET PAYMENT,T2504051,₹57.97,Transport,Debit
09 Apr 2025,SHAIKH FARDEEN ANSARI,T2504033,₹579.46,P2P Transfer,Credit
10 Apr 2025,HEALTH CHECKUP ONLINE,T2504001,₹29.81,Healthcare,Debit
05 Apr 2025,ONLINE GAMING ONLINE,T2504075,₹137.82,Entertainment,Debit
06 Apr 2025,LEMON TREE TXN,T2504098,₹38.19,Miscellaneous,Debit
06 Apr 2025,RAPIDO #9351,T2504093,₹93.94,Transport,Debit
03 Apr 2025,EDUCATIONAL SUPPLIES ONLINE,T2504027,₹74.91,Education,Debit
09 Apr 2025,SPA SERVICE TXN,T2504052,₹174.35,Personal Care,Debit
06 Apr 2025,ANNAI MARY STORE ONLINE,T2504027,₹167.73,Grocery & Convenience,Debit
02 Apr 2025,ELECTRIC BILL,T2504089,₹27.77,Utilities,Debit
06 Apr 2025,SHOPPING ONLINE,T2504090,₹104.14,Shopping,Debit
03 Apr 2025,COLLEGE FEE PAYMENT,T2504035,₹58.79,Education,Debit
01 Apr 2025,E-COMMERCE #7882,T2504021,₹47.44,Online Services,Debit
04 Apr 2025,STATIONERY SHOP TXN,T2504033,₹11.82,Shopping,Debit
04 Apr 2025,P R M STORES ONLINE,T2504067,₹121.38,Grocery & Convenience,Debit
08 Apr 2025,SRI MAHA LADIES HOSTEL BILL,T2504008,₹1477.81,Housing,Debit
10 Apr 2025,GAS BILL #9796,T2504033,₹28.36,Utilities,Debit
04 Apr 2025,THALAIVA CHINESE COR BILL,T2504006,₹12.31,Food & Dining,Debit
04 Apr 2025,ELECTRIC BILL BILL,T2504072,₹53.9,Utilities,Debit
08 Apr 2025,FANCY STORE TXN,T2504099,₹113.22,Shopping,Debit
03 Apr 2025,GAME ZONE ONLINE,T2504040,₹59.77,Entertainment,Debit
04 Apr 2025,SPA SERVICE TXN,T2504010,₹177.15,Personal Care,Debit
02 Apr 2025,CHENNAI METRO RAIL LTD TXN,T2504033,₹66.7,Transport,Debit
06 Apr 2025,TUITION FEE TXN,T2504022,₹153.54,Education,Debit
09 Apr 2025,EXAM FEE PAYMENT,T2504001,₹90.02,Education,Debit
02 Apr 2025,JEWELLERY STORE #5999,T2504093,₹75.91,Shopping,Debit
01 Apr 2025,LOCAL TRANSPORT BILL,T2504082,₹95.94,Transport,Debit
05 Apr 2025,SNACK SHOP,T2504067,₹101.51,Food & Dining,Debit
04 Apr 2025,NAIL CARE #9866,T2504073,₹132.59,Personal Care,Debit
02 Apr 2025,MUZAFAR BASHA,T2504021,₹1282.5,P2P Transfer,Credit
05 Apr 2025,VIDEO STREAMING #7999,T2504008,₹94.11,Entertainment,Debit
05 Apr 2025,PETROL PUMP ONLINE,T2504004,₹150.13,Transport,Debit
01 Apr 2025,DIGINET CAFE ONLINE,T2504012,₹115.59,Online Services,Debit
07 Apr 2025,GIFT SHOP PAYMENT,T2504052,₹145.52,Shopping,Debit
09 Apr 2025,APP PURCHASE BILL,T2504004,₹188.35,Online Services,Debit
07 Apr 2025,SHAM EGE SHOP ONLINE,T2504006,₹193.35,Grocery & Convenience,Debit
04 Apr 2025,METRO FARE PAYMENT,T2504095,₹194.55,Transport,Debit
02 Apr 2025,SMALL PURCHASE ONLINE,T2504001,₹19.7,Miscellaneous,Debit
07 Apr 2025,CLOTHING STORE,T2504013,₹124.08,Shopping,Debit
02 Apr 2025,UNKNOWN TRANSACTION,T2504056,₹164.0,Miscellaneous,Debit
10 Apr 2025,TEA STALL #8848,T2504084,₹188.79,Food & Dining,Debit
08 Apr 2025,AMUSEMENT PARK ONLINE,T2504067,₹159.32,Entertainment,Debit
02 Apr 2025,AMUSEMENT PARK #1173,T2504046,₹186.58,Entertainment,Debit
01 Apr 2025,MEDICAL STORE,T2504020,₹157.4,Healthcare,Debit
07 Apr 2025,DOCTOR VISIT TXN,T2504037,₹189.57,Healthcare,Debit
01 Apr 2025,HEALTH CHECKUP BILL,T2504041,₹21.36,Healthcare,Debit
10 Apr 2025,CASH WITHDRAWAL #6599,T2504019,₹167.16,Miscellaneous,Debit
06 Apr 2025,SUPERMARKET BILL,T2504069,₹133.35,Grocery & Convenience,Debit
02 Apr 2025,FUEL PURCHASE PAYMENT,T2504025,₹192.61,Transport,Debit
02 Apr 2025,UNKNOWN TRANSACTION TXN,T2504099,₹35.54,Miscellaneous,Debit
07 Apr 2025,SPA SERVICE TXN,T2504095,₹116.14,Personal Care,Debit
03 Apr 2025,BARBER SHOP,T2504089,₹147.48,Personal Care,Debit
05 Apr 2025,BOOKSTORE #5722,T2504089,₹193.14,Shopping,Debit
10 Apr 2025,SADIF CHEMBAYIL,T2504092,₹538.88,P2P Transfer,Debit
02 Apr 2025,SRI MAHA LADIES HOSTEL #4780,T2504071,₹950.73,Housing,Debit
05 Apr 2025,S P CAFE TXN,T2504093,₹32.76,Food & Dining,Debit
06 Apr 2025,E-COMMERCE,T2504071,₹161.3,Online Services,Debit
05 Apr 2025,THANUSREE,T2504056,₹923.64,P2P Transfer,Credit
04 Apr 2025,RAJAN KUMARI,T2504057,₹818.99,P2P Transfer,Credit
08 Apr 2025,FOOTWEAR STORE PAYMENT,T2504083,₹161.2,Shopping,Debit
06 Apr 2025,ATM WITHDRAWAL #1871,T2504040,₹48.47,Miscellaneous,Debit
05 Apr 2025,BIRIYANI SHOP ONLINE,T2504039,₹151.28,Food & Dining,Debit
06 Apr 2025,DTH RECHARGE BILL,T2504053,₹72.11,Utilities,Debit
08 Apr 2025,GAYATHRI MARAN,T2504015,₹952.05,P2P Transfer,Debit
03 Apr 2025,ELECTRIC BILL PAYMENT,T2504088,₹49.48,Utilities,Debit
09 Apr 2025,STOMILAR ONLINE,T2504004,₹171.94,Miscellaneous,Debit
02 Apr 2025,ATTITUDE GARMENTS TRIPLICANE #2911,T2504012,₹34.74,Shopping,Debit
08 Apr 2025,GROOMING SERVICE ONLINE,T2504012,₹38.85,Personal Care,Debit
01 Apr 2025,DAILY NEEDS #8759,T2504081,₹196.72,Grocery & Convenience,Debit
07 Apr 2025,VIDEO STREAMING BILL,T2504031,₹105.21,Entertainment,Debit
03 Apr 2025,VIDEO STREAMING PAYMENT,T2504014,₹37.81,Entertainment,Debit
05 Apr 2025,ROOM RENT ONLINE,T2504011,₹804.34,Housing,Debit
08 Apr 2025,UBER RIDE TXN,T2504045,₹96.51,Transport,Debit
02 Apr 2025,PG ACCOMMODATION #6472,T2504093,₹1434.11,Housing,Debit
02 Apr 2025,PHARMACY #3517,T2504047,₹99.53,Healthcare,Debit
07 Apr 2025,BARBER SHOP BILL,T2504078,₹187.38,Personal Care,Debit
03 Apr 2025,M S HOTEL,T2504050,₹62.6,Food & Dining,Debit
04 Apr 2025,BARBER SHOP #2357,T2504051,₹68.53,Personal Care,Debit
09 Apr 2025,GAME ZONE ONLINE,T2504041,₹109.66,Entertainment,Debit
01 Apr 2025,LOCAL TRANSPORT ONLINE,T2504052,₹92.37,Transport,Debit
07 Apr 2025,MOVIE TICKET #2270,T2504079,₹81.5,Entertainment,Debit
01 Apr 2025,ZEPTO MARKETPLACE PRIVATE LIMITED TXN,T2504012,₹161.72,Grocery & Convenience,Debit
06 Apr 2025,VIGNESH R,T2504091,₹466.96,P2P Transfer,Debit
07 Apr 2025,COACHING CLASS PAYMENT,T2504098,₹84.03,Education,Debit
08 Apr 2025,PROTEAN EGOV TECHNOLOGIES LIMITED ONLINE,T2504058,₹68.05,Online Services,Debit
02 Apr 2025,METRO FARE PAYMENT,T2504062,₹196.97,Transport,Debit
06 Apr 2025,WATER BILL #4617,T2504017,₹143.81,Utilities,Debit
09 Apr 2025,UNKNOWN TRANSACTION BILL,T2504008,₹17.72,Miscellaneous,Debit
05 Apr 2025,EDUCATIONAL SUPPLIES PAYMENT,T2504006,₹111.97,Education,Debit
10 Apr 2025,NAIL CARE BILL,T2504008,₹30.97,Personal Care,Debit
05 Apr 2025,FOOD COUNTER PAYMENT,T2504054,₹160.91,Food & Dining,Debit
03 Apr 2025,APP PURCHASE TXN,T2504063,₹144.44,Online Services,Debit
01 Apr 2025,OLA RIDE TXN,T2504010,₹70.33,Transport,Debit
08 Apr 2025,GIFT SHOP BILL,T2504075,₹34.04,Shopping,Debit
09 Apr 2025,SUBSCRIPTION SERVICE TXN,T2504000,₹171.58,Online Services,Debit
04 Apr 2025,COACHING CLASS BILL,T2504100,₹23.32,Education,Debit
04 Apr 2025,MANSURA KHATUN,T2504002,₹866.76,P2P Transfer,Credit
05 Apr 2025,SHADOWFAX TECHNOLOGIES PRIVATE LIMITED TXN,T2504006,₹130.59,Online Services,Debit
10 Apr 2025,ARCHANA VESSELS #7357,T2504100,₹199.97,Shopping,Debit
01 Apr 2025,MUSIC STREAMING BILL,T2504031,₹184.3,Entertainment,Debit
10 Apr 2025,OLA RIDE BILL,T2504010,₹128.21,Transport,Debit
08 Apr 2025,SRI MAHA LADIES HOSTEL ONLINE,T2504009,₹882.3,Housing,Debit
01 Apr 2025,D PREMILA,T2504002,₹252.22,P2P Transfer,Debit
05 Apr 2025,AMUSEMENT PARK TXN,T2504028,₹198.85,Entertainment,Debit
02 Apr 2025,AMUSEMENT PARK,T2504049,₹105.07,Entertainment,Debit
05 Apr 2025,DOCTOR VISIT PAYMENT,T2504038,₹97.92,Healthcare,Debit
06 Apr 2025,TEA STALL PAYMENT,T2504004,₹149.33,Food & Dining,Debit
08 Apr 2025,INTERNET BILL PAYMENT,T2504046,₹151.14,Utilities,Debit
08 Apr 2025,ARCHANA VESSELS BILL,T2504055,₹159.57,Shopping,Debit
03 Apr 2025,ROYAL MENS BEAUTY CENTER,T2504082,₹190.46,Personal Care,Debit
07 Apr 2025,FOOD COUNTER ONLINE,T2504056,₹29.11,Food & Dining,Debit
04 Apr 2025,VIDEO STREAMING PAYMENT,T2504063,₹43.39,Entertainment,Debit
07 Apr 2025,SANMUGARAJA C,T2504090,₹583.95,P2P Transfer,Credit
05 Apr 2025,SHAVING ONLINE,T2504042,₹105.33,Personal Care,Debit
02 Apr 2025,LIBRARY FEE ONLINE,T2504067,₹24.72,Education,Debit
10 Apr 2025,SRI AMMAN COOL DRINKS ONLINE,T2504045,₹100.07,Food & Dining,Debit
07 Apr 2025,INTERNET BILL #3208,T2504026,₹77.24,Utilities,Debit
01 Apr 2025,MESS FEE PAYMENT,T2504079,₹659.61,Housing,Debit
06 Apr 2025,GIFT SHOP,T2504009,₹94.43,Shopping,Debit
04 Apr 2025,ROYAL MENS BEAUTY CENTER ONLINE,T2504010,₹84.69,Personal Care,Debit
02 Apr 2025,CASH WITHDRAWAL #5604,T2504050,₹136.16,Miscellaneous,Debit
07 Apr 2025,DOCTOR VISIT PAYMENT,T2504045,₹99.26,Healthcare,Debit
10 Apr 2025,STOMILAR #7153,T2504045,₹108.65,Miscellaneous,Debit
06 Apr 2025,BUS FARE TXN,T2504067,₹42.68,Transport,Debit
08 Apr 2025,LANDLORD PAYMENT PAYMENT,T2504094,₹974.31,Housing,Debit
03 Apr 2025,HAIRCUT #8115,T2504084,₹176.9,Personal Care,Debit
01 Apr 2025,CASH WITHDRAWAL BILL,T2504064,₹40.41,Miscellaneous,Debit
09 Apr 2025,NOTEBOOK PURCHASE #5724,T2504071,₹143.98,Education,Debit
10 Apr 2025,ZEPTO MARKETPLACE PRIVATE LIMITED BILL,T2504041,₹167.16,Grocery & Convenience,Debit
04 Apr 2025,FOOTWEAR STORE TXN,T2504054,₹151.75,Shopping,Debit
08 Apr 2025,CANTEEN,T2504039,₹57.71,Food & Dining,Debit
08 Apr 2025,TRAIN TICKET TXN,T2504066,₹128.59,Transport,Debit
09 Apr 2025,STREET FOOD #9614,T2504099,₹173.82,Food & Dining,Debit
04 Apr 2025,SHAIKH FARDEEN ANSARI,T2504055,₹140.15,P2P Transfer,Debit
08 Apr 2025,SANNI KUMAR,T2504055,₹600.92,P2P Transfer,Credit
09 Apr 2025,TAXI FARE BILL,T2504081,₹50.96,Transport,Debit
01 Apr 2025,HAIRCUT BILL,T2504099,₹88.34,Personal Care,Debit
08 Apr 2025,SHOPPING,T2504079,₹190.16,Shopping,Debit
06 Apr 2025,STATIONERY SHOP BILL,T2504025,₹88.24,Shopping,Debit
07 Apr 2025,DTH RECHARGE ONLINE,T2504084,₹169.55,Utilities,Debit
02 Apr 2025,MOBILE BILL #5479,T2504060,₹119.02,Utilities,Debit
09 Apr 2025,PARKING FEE #5658,T2504049,₹166.21,Transport,Debit
07 Apr 2025,NAIL CARE BILL,T2504058,₹182.32,Personal Care,Debit
04 Apr 2025,CS PHARMACY TXN,T2504039,₹137.56,Healthcare,Debit
06 Apr 2025,PERSONAL TRANSFER,T2504018,₹959.27,P2P Transfer,Credit
07 Apr 2025,SHARE AUTO ONLINE,T2504074,₹67.15,Transport,Debit
05 Apr 2025,PAYU BILL,T2504020,₹72.46,Online Services,Debit
04 Apr 2025,EDUCATIONAL SUPPLIES BILL,T2504023,₹195.66,Education,Debit
10 Apr 2025,FOOTWEAR STORE #1855,T2504044,₹11.57,Shopping,Debit
01 Apr 2025,AL SHIFA MEDICAL #3397,T2504080,₹178.5,Healthcare,Debit
06 Apr 2025,ROYAL MENS BEAUTY CENTER TXN,T2504013,₹30.09,Personal Care,Debit
04 Apr 2025,SPA SERVICE TXN,T2504053,₹85.3,Personal Care,Debit
08 Apr 2025,VIGNESH R,T2504022,₹839.19,P2P Transfer,Debit
10 Apr 2025,CS PHARMACY PAYMENT,T2504019,₹162.58,Healthcare,Debit
03 Apr 2025,SRI MAHA LADIES HOSTEL ONLINE,T2504031,₹813.27,Housing,Debit
07 Apr 2025,CHEMIST PAYMENT,T2504036,₹48.29,Healthcare,Debit
07 Apr 2025,ROOM RENT ONLINE,T2504019,₹675.18,Housing,Debit
05 Apr 2025,EVENT TICKET PAYMENT,T2504014,₹169.92,Entertainment,Debit
09 Apr 2025,LOCAL TRANSPORT #8127,T2504000,₹58.82,Transport,Debit
03 Apr 2025,BEEMA STORE #6859,T2504057,₹195.19,Grocery & Convenience,Debit
10 Apr 2025,HAIRCUT BILL,T2504040,₹39.7,Personal Care,Debit
02 Apr 2025,BEAUTY PARLOUR PAYMENT,T2504037,₹197.29,Personal Care,Debit
06 Apr 2025,SERVICE CHARGE PAYMENT,T2504027,₹81.21,Miscellaneous,Debit
02 Apr 2025,PG ACCOMMODATION ONLINE,T2504043,₹1431.85,Housing,Debit
05 Apr 2025,SPA SERVICE TXN,T2504082,₹176.07,Personal Care,Debit
08 Apr 2025,CHENNAI METRO RAIL LTD PAYMENT,T2504012,₹180.57,Transport,Debit
05 Apr 2025,BARBER SHOP BILL,T2504029,₹117.42,Personal Care,Debit
02 Apr 2025,FANCY STORE PAYMENT,T2504067,₹159.21,Shopping,Debit
02 Apr 2025,AMUSEMENT PARK TXN,T2504027,₹109.5,Entertainment,Debit
02 Apr 2025,LOCAL TRANSPORT PAYMENT,T2504066,₹61.88,Transport,Debit
07 Apr 2025,ONLINE PAYMENT TXN,T2504025,₹119.68,Online Services,Debit
10 Apr 2025,WATER BILL PAYMENT,T2504018,₹54.95,Utilities,Debit
04 Apr 2025,EXAM FEE ONLINE,T2504077,₹165.16,Education,Debit
05 Apr 2025,CLOTHING STORE TXN,T2504027,₹123.55,Shopping,Debit
02 Apr 2025,SMALL PURCHASE BILL,T2504098,₹79.69,Miscellaneous,Debit
08 Apr 2025,MISC PAYMENT,T2504093,₹155.21,Miscellaneous,Debit
10 Apr 2025,E-COMMERCE PAYMENT,T2504027,₹125.78,Online Services,Debit
08 Apr 2025,GAME ZONE #4102,T2504069,₹157.04,Entertainment,Debit
01 Apr 2025,P SHANMUGASUNDARAM,T2504057,₹383.11,P2P Transfer,Credit
07 Apr 2025,HOTEL DINING,T2504017,₹63.16,Food & Dining,Debit
10 Apr 2025,GAS BILL ONLINE,T2504022,₹84.46,Utilities,Debit
06 Apr 2025,HAIR SALON #5807,T2504063,₹170.75,Personal Care,Debit
08 Apr 2025,SHUNAYNA DEVI W/O ADITYA KUMAR THAK,T2504059,₹296.59,P2P Transfer,Credit
01 Apr 2025,HOSTEL FEE ONLINE,T2504100,₹1653.25,Housing,Debit
07 Apr 2025,NOTEBOOK PURCHASE TXN,T2504056,₹21.96,Education,Debit
09 Apr 2025,HAIRCUT TXN,T2504024,₹113.48,Personal Care,Debit
05 Apr 2025,HERO CHAI TXN,T2504008,₹108.4,Food & Dining,Debit
02 Apr 2025,VIDEO STREAMING ONLINE,T2504062,₹105.94,Entertainment,Debit
06 Apr 2025,SRI AMMAN COOL DRINKS TXN,T2504071,₹169.12,Food & Dining,Debit
05 Apr 2025,ELECTRONICS SHOP,T2504055,₹88.24,Shopping,Debit
10 Apr 2025,SUPERMARKET BILL,T2504029,₹77.21,Grocery & Convenience,Debit
08 Apr 2025,ELECTRONICS SHOP BILL,T2504030,₹120.17,Shopping,Debit
06 Apr 2025,P R M STORES PAYMENT,T2504086,₹42.29,Grocery & Convenience,Debit
04 Apr 2025,FUEL PURCHASE,T2504049,₹123.86,Transport,Debit
06 Apr 2025,BARBER SHOP TXN,T2504050,₹88.81,Personal Care,Debit
07 Apr 2025,GAS BILL ONLINE,T2504073,₹119.51,Utilities,Debit
09 Apr 2025,DOCTOR VISIT #5655,T2504078,₹122.28,Healthcare,Debit
04 Apr 2025,APARTMENT MAINTENANCE BILL,T2504081,₹621.89,Housing,Debit
01 Apr 2025,MUNNA KUMAR,T2504070,₹490.26,P2P Transfer,Credit
08 Apr 2025,MESS FEE PAYMENT,T2504030,₹1387.49,Housing,Debit
