date,description,transactionId,amount,category,transactionType
09 Apr 2025,sri maha ladies hostel online,T2504002,1657.66,Housing,debit
01 Apr 2025,penalty charge txn,T2504023,77.50,Legal & Government,debit
01 Apr 2025,retail txn,T2504048,23.33,Shopping,debit
01 Apr 2025,video streaming bill,T2504047,191.57,Entertainment,debit
10 Apr 2025,phone recharge,T2504060,75.65,Utilities,debit
05 Apr 2025,codexintern bill,T2504047,122.18,Online Services,debit
07 Apr 2025,registration fee bill,T2504063,163.99,Legal & Government,debit
10 Apr 2025,retail online,T2504019,167.87,Shopping,debit
04 Apr 2025,bus fare txn,T2504038,198.75,Transport,debit
01 Apr 2025,local market online,T2504087,14.94,Grocery & Convenience,debit
02 Apr 2025,shadowfax technologies private limited txn,T2504007,182.42,Online Services,debit
05 Apr 2025,flight booking,T2504011,797.78,Travel,debit
07 Apr 2025,room rent txn,T2504021,820.60,Housing,debit
08 Apr 2025,grooming service txn,T2504080,139.58,Personal Care,debit
02 Apr 2025,mehulkumar,T2504096,370.55,P2P Transfer,debit
09 Apr 2025,professional fee bill,T2504001,180.16,Business Expenses,debit
01 Apr 2025,office supplies txn,T2504002,18.22,Business Expenses,debit
02 Apr 2025,venkatesh s,T2504014,1486.50,P2P Transfer,debit
03 Apr 2025,cash withdrawal online,T2504069,127.90,Financial Services,debit
07 Apr 2025,water bill online,T2504082,156.94,Utilities,debit
07 Apr 2025,service charge online,T2504035,26.68,Financial Services,debit
06 Apr 2025,license fee payment,T2504033,14.31,Legal & Government,debit
10 Apr 2025,e-commerce purchase #1774,T2504032,18.85,Online Shopping,debit
07 Apr 2025,akhlesh kumar sharma,T2504054,363.24,P2P Transfer,credit
03 Apr 2025,red bus #1602,T2504061,885.17,Travel,debit
06 Apr 2025,amusement park #3513,T2504071,82.23,Entertainment,debit
03 Apr 2025,pet shop payment,T2504018,193.25,Pets,debit
01 Apr 2025,metro fare #2290,T2504094,67.56,Transport,debit
10 Apr 2025,dth recharge #9138,T2504064,46.56,Utilities,debit
01 Apr 2025,spa service txn,T2504085,13.49,Personal Care,debit
04 Apr 2025,barber shop bill,T2504039,199.42,Personal Care,debit
10 Apr 2025,dog care bill,T2504034,94.80,Pets,debit
09 Apr 2025,bookstore txn,T2504100,108.24,Shopping,debit
05 Apr 2025,zeptonow payment,T2504006,91.26,Grocery & Convenience,debit
10 Apr 2025,unknown transaction txn,T2504028,194.49,Miscellaneous,debit
10 Apr 2025,check payment payment,T2504086,185.01,Financial Services,debit
02 Apr 2025,codexintern online,T2504057,135.00,Online Services,debit
01 Apr 2025,flipkart payment,T2504057,152.84,Online Shopping,debit
01 Apr 2025,loan repayment payment,T2504093,119.89,Financial Services,debit
04 Apr 2025,red bus,T2504071,565.34,Travel,debit
03 Apr 2025,pet shop txn,T2504072,116.60,Pets,debit
06 Apr 2025,flight booking,T2504025,1263.02,Travel,debit
01 Apr 2025,software subscription #1368,T2504016,122.06,Business Expenses,debit
01 Apr 2025,community support bill,T2504029,162.93,Charity & Donations,debit
06 Apr 2025,animal medicine #1478,T2504016,87.31,Pets,debit
04 Apr 2025,gift shop online,T2504030,167.76,Shopping,debit
09 Apr 2025,life insurance online,T2504061,145.35,Insurance,debit
05 Apr 2025,local market,T2504063,102.02,Grocery & Convenience,debit
02 Apr 2025,pet food payment,T2504025,128.12,Pets,debit
01 Apr 2025,pet shop,T2504079,181.29,Pets,debit
06 Apr 2025,pet grooming bill,T2504075,193.45,Pets,debit
08 Apr 2025,client meeting online,T2504012,42.89,Business Expenses,debit
04 Apr 2025,auto rickshaw bill,T2504040,111.43,Transport,debit
09 Apr 2025,advertising cost bill,T2504092,178.97,Business Expenses,debit
07 Apr 2025,cs pharmacy bill,T2504097,107.95,Healthcare,debit
09 Apr 2025,exam fee bill,T2504004,111.33,Education,debit
05 Apr 2025,tuition fee txn,T2504079,69.02,Education,debit
01 Apr 2025,animal medicine payment,T2504018,127.65,Pets,debit
06 Apr 2025,mart bill,T2504008,45.64,Grocery & Convenience,debit
08 Apr 2025,vet visit payment,T2504021,131.25,Pets,debit
02 Apr 2025,tour package payment,T2504070,1496.80,Travel,debit
07 Apr 2025,barber shop #1498,T2504076,100.46,Personal Care,debit
06 Apr 2025,crowd funding,T2504045,69.36,Charity & Donations,debit
10 Apr 2025,d premila,T2504027,1482.17,P2P Transfer,credit
10 Apr 2025,fitness coach bill,T2504013,76.56,Health & Fitness,debit
04 Apr 2025,pet shop #2948,T2504009,144.09,Pets,debit
10 Apr 2025,biriyani shop #2331,T2504043,21.61,Food & Dining,debit
02 Apr 2025,unknown transaction payment,T2504099,154.04,Miscellaneous,debit
02 Apr 2025,mess fee payment,T2504080,789.67,Housing,debit
04 Apr 2025,vet visit online,T2504012,155.78,Pets,debit
06 Apr 2025,health insurance,T2504015,134.43,Insurance,debit
02 Apr 2025,provision store online,T2504095,166.53,Grocery & Convenience,debit
03 Apr 2025,sri maha ladies hostel bill,T2504017,1590.20,Housing,debit
10 Apr 2025,donation payment,T2504028,180.61,Charity & Donations,debit
07 Apr 2025,mess payment,T2504088,26.00,Food & Dining,debit
04 Apr 2025,food delivery txn,T2504061,79.97,Food & Dining,debit
04 Apr 2025,hostel fee #1552,T2504086,1015.95,Housing,debit
04 Apr 2025,library fee,T2504032,135.68,Education,debit
10 Apr 2025,donation online,T2504069,17.22,Charity & Donations,debit
06 Apr 2025,cable tv,T2504065,21.84,Utilities,debit
02 Apr 2025,mansura khatun,T2504017,1094.99,P2P Transfer,debit
02 Apr 2025,myntra bill,T2504044,95.99,Online Shopping,debit
08 Apr 2025,advertising cost online,T2504059,72.50,Business Expenses,debit
03 Apr 2025,workout gear online,T2504098,59.81,Health & Fitness,debit
01 Apr 2025,protean egov technologies limited payment,T2504060,141.27,Online Services,debit
08 Apr 2025,lemon tree bill,T2504002,193.99,Miscellaneous,debit
01 Apr 2025,beema store 2 online,T2504007,115.66,Grocery & Convenience,debit
02 Apr 2025,hostel fee payment,T2504050,1192.51,Housing,debit
05 Apr 2025,rent payment online,T2504062,1116.11,Housing,debit
01 Apr 2025,donation online,T2504033,179.78,Charity & Donations,debit
04 Apr 2025,animal medicine bill,T2504047,150.72,Pets,debit
06 Apr 2025,bus fare,T2504007,167.07,Transport,debit
05 Apr 2025,movie ticket online,T2504095,62.17,Entertainment,debit
01 Apr 2025,community support bill,T2504086,41.34,Charity & Donations,debit
04 Apr 2025,haircut online,T2504065,134.75,Personal Care,debit
01 Apr 2025,cash deposit,T2504001,162.08,Miscellaneous,debit
06 Apr 2025,professional fee #9903,T2504008,131.22,Business Expenses,debit
09 Apr 2025,amazon payment,T2504091,43.72,Online Shopping,debit
08 Apr 2025,religious donation,T2504094,45.46,Charity & Donations,debit
06 Apr 2025,pet grooming online,T2504069,179.69,Pets,debit
04 Apr 2025,apartment maintenance txn,T2504006,581.65,Housing,debit
09 Apr 2025,animal medicine online,T2504050,110.78,Pets,debit
07 Apr 2025,hair salon txn,T2504077,35.79,Personal Care,debit
01 Apr 2025,software subscription #8615,T2504064,52.29,Business Expenses,debit
06 Apr 2025,water bill txn,T2504043,55.93,Utilities,debit
03 Apr 2025,insurance premium,T2504050,117.36,Insurance,debit
06 Apr 2025,loan repayment txn,T2504049,188.38,Financial Services,debit
10 Apr 2025,shadowfax technologies private limited payment,T2504057,32.85,Online Services,debit
09 Apr 2025,snapdeal bill,T2504041,36.00,Online Shopping,debit
06 Apr 2025,haircut payment,T2504099,136.81,Personal Care,debit
08 Apr 2025,account maintenance online,T2504086,169.73,Financial Services,debit
10 Apr 2025,blinkit txn,T2504074,64.41,Online Shopping,debit
01 Apr 2025,cs pharmacy #3940,T2504091,27.79,Healthcare,debit
06 Apr 2025,gas bill online,T2504056,47.97,Utilities,debit
08 Apr 2025,prasanna d,T2504068,971.55,P2P Transfer,credit
07 Apr 2025,music streaming bill,T2504077,155.09,Entertainment,debit
07 Apr 2025,donation bill,T2504061,178.70,Charity & Donations,debit
07 Apr 2025,health insurance #8857,T2504035,16.79,Insurance,debit
01 Apr 2025,gift shop online,T2504039,64.91,Shopping,debit
09 Apr 2025,professional fee,T2504091,21.02,Business Expenses,debit
10 Apr 2025,zepto,T2504059,111.68,Grocery & Convenience,debit
07 Apr 2025,service charge bill,T2504039,193.43,Financial Services,debit
04 Apr 2025,software subscription #5817,T2504081,120.88,Business Expenses,debit
03 Apr 2025,client meeting online,T2504057,92.83,Business Expenses,debit
10 Apr 2025,p r m stores online,T2504099,193.08,Grocery & Convenience,debit
08 Apr 2025,e-commerce #5936,T2504012,90.43,Online Services,debit
10 Apr 2025,diginet cafe txn,T2504043,23.77,Online Services,debit
05 Apr 2025,community support online,T2504077,36.71,Charity & Donations,debit
07 Apr 2025,two-wheeler insurance payment,T2504016,10.74,Insurance,debit
07 Apr 2025,loan repayment payment,T2504047,22.92,Financial Services,debit
06 Apr 2025,gas bill online,T2504037,148.06,Utilities,debit
01 Apr 2025,client meeting payment,T2504032,141.07,Business Expenses,debit
04 Apr 2025,water bill payment,T2504077,64.11,Utilities,debit
04 Apr 2025,advertising cost txn,T2504047,76.74,Business Expenses,debit
05 Apr 2025,road tax txn,T2504078,179.51,Legal & Government,debit
03 Apr 2025,religious donation txn,T2504054,106.07,Charity & Donations,debit
03 Apr 2025,fuel purchase online,T2504011,190.54,Transport,debit
07 Apr 2025,swiggy instamart,T2504094,40.25,Online Shopping,debit
04 Apr 2025,bahari dhaba,T2504091,195.63,Food & Dining,debit
10 Apr 2025,amusement park bill,T2504094,50.92,Entertainment,debit
01 Apr 2025,tax payment,T2504002,159.47,Legal & Government,debit
02 Apr 2025,canteen bill,T2504046,154.00,Food & Dining,debit
08 Apr 2025,phone recharge,T2504080,25.35,Utilities,debit
03 Apr 2025,dhaba payment,T2504085,53.85,Food & Dining,debit
07 Apr 2025,video streaming,T2504083,62.02,Entertainment,debit
08 Apr 2025,loan repayment bill,T2504071,41.42,Financial Services,debit
06 Apr 2025,video streaming online,T2504005,82.06,Entertainment,debit
08 Apr 2025,pet supplies payment,T2504091,44.95,Pets,debit
02 Apr 2025,animal medicine,T2504052,84.93,Pets,debit
07 Apr 2025,spa service bill,T2504092,170.01,Personal Care,debit
02 Apr 2025,zeptonow,T2504025,109.33,Grocery & Convenience,debit
01 Apr 2025,electric bill txn,T2504000,166.24,Utilities,debit
10 Apr 2025,snapdeal bill,T2504090,190.28,Online Shopping,debit
07 Apr 2025,tax payment bill,T2504059,121.41,Legal & Government,debit
07 Apr 2025,video streaming online,T2504007,74.10,Entertainment,debit
03 Apr 2025,taxi fare payment,T2504053,183.55,Transport,debit
01 Apr 2025,footwear store payment,T2504082,52.59,Shopping,debit
05 Apr 2025,atm withdrawal online,T2504054,187.38,Financial Services,debit
06 Apr 2025,software subscription bill,T2504086,133.84,Business Expenses,debit
08 Apr 2025,diginet cafe,T2504093,85.69,Online Services,debit
03 Apr 2025,office supplies online,T2504000,39.47,Business Expenses,debit
03 Apr 2025,phone recharge online,T2504010,12.54,Utilities,debit
09 Apr 2025,exam fee #1599,T2504080,114.54,Education,debit
05 Apr 2025,rtgs payment txn,T2504085,195.59,Financial Services,debit
02 Apr 2025,water bill txn,T2504072,153.20,Utilities,debit
10 Apr 2025,dth recharge bill,T2504048,119.11,Utilities,debit
10 Apr 2025,sri maha ladies hostel bill,T2504024,1377.37,Housing,debit
05 Apr 2025,landlord payment bill,T2504068,851.24,Housing,debit
02 Apr 2025,m mohammed abrar,T2504010,489.17,P2P Transfer,debit
07 Apr 2025,jeeva hotel 2 txn,T2504027,163.31,Food & Dining,debit
02 Apr 2025,service charge online,T2504077,124.83,Financial Services,debit
02 Apr 2025,chemist #8493,T2504011,58.91,Healthcare,debit
04 Apr 2025,hostel fee txn,T2504077,1221.07,Housing,debit
09 Apr 2025,chill cafe ramapuram #6288,T2504100,66.30,Food & Dining,debit
04 Apr 2025,barber shop payment,T2504072,105.51,Personal Care,debit
06 Apr 2025,srmgf counter 1,T2504070,57.33,Education,debit
10 Apr 2025,uber ride #9084,T2504061,173.54,Transport,debit
05 Apr 2025,sports equipment bill,T2504009,145.03,Health & Fitness,debit
09 Apr 2025,bank charge online,T2504013,181.90,Financial Services,debit
10 Apr 2025,event ticket txn,T2504068,19.21,Entertainment,debit
07 Apr 2025,video streaming,T2504069,148.87,Entertainment,debit
01 Apr 2025,penalty charge #5905,T2504092,162.74,Legal & Government,debit
09 Apr 2025,life insurance payment,T2504055,108.31,Insurance,debit
02 Apr 2025,policy payment,T2504066,13.94,Insurance,debit
03 Apr 2025,daily needs payment,T2504087,131.88,Grocery & Convenience,debit
01 Apr 2025,religious donation payment,T2504019,140.30,Charity & Donations,debit
06 Apr 2025,small purchase bill,T2504017,106.92,Miscellaneous,debit
07 Apr 2025,annai mary store online,T2504019,131.98,Grocery & Convenience,debit
07 Apr 2025,online gaming bill,T2504055,27.33,Entertainment,debit
02 Apr 2025,rent payment,T2504096,782.41,Housing,debit
02 Apr 2025,neft transfer,T2504093,143.48,Financial Services,debit
02 Apr 2025,haircut payment,T2504008,47.84,Personal Care,debit
01 Apr 2025,vet visit payment,T2504068,122.78,Pets,debit
06 Apr 2025,travel expense txn,T2504070,926.46,Travel,debit
08 Apr 2025,health insurance payment,T2504043,162.26,Insurance,debit
08 Apr 2025,annai mary store #8937,T2504029,73.07,Grocery & Convenience,debit
10 Apr 2025,event ticket bill,T2504091,109.83,Entertainment,debit
03 Apr 2025,college fee bill,T2504006,127.60,Education,debit
06 Apr 2025,beauty parlour #9201,T2504010,175.17,Personal Care,debit
09 Apr 2025,food counter online,T2504020,196.44,Food & Dining,debit
03 Apr 2025,life insurance online,T2504001,156.60,Insurance,debit
06 Apr 2025,sri amman cool drinks,T2504073,38.65,Food & Dining,debit
09 Apr 2025,royal biriyani #1416,T2504076,45.27,Food & Dining,debit
02 Apr 2025,hostel fee bill,T2504052,740.38,Housing,debit
01 Apr 2025,stomilar bill,T2504010,64.55,Miscellaneous,debit
01 Apr 2025,crowd funding payment,T2504072,184.40,Charity & Donations,debit
02 Apr 2025,community support #6537,T2504011,17.06,Charity & Donations,debit
02 Apr 2025,client meeting payment,T2504013,194.65,Business Expenses,debit
07 Apr 2025,coaching class txn,T2504010,21.14,Education,debit
09 Apr 2025,chemist,T2504047,188.96,Healthcare,debit
